name,brand,categories,primaryCategories,reviews_date,reviews_text,reviews_title,sentiment
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2016-12-26T00:00:00.000Z,"['purchased', 'on', 'black', 'fridaypros', 'great', 'price', 'even', 'off', 'sale', 'very', 'powerful', 'and', 'fast', 'with', 'quad', 'core', 'processors', 'amazing', 'soundwell', 'builtcons', 'amazon', 'ads', 'amazon', 'need', 'this', 'to', 'subsidize', 'the', 'tablet', 'and', 'will', 'remove', 'the', 'adds', 'if', 'you', 'pay', 'them', 'inability', 'to', 'access', 'other', 'apps', 'except', 'the', 'ones', 'from', 'amazon', 'there', 'is', 'a', 'way', 'which', 'i', 'was', 'able', 'to', 'accomplish', 'to', 'add', 'the', 'google', 'play', 'storenet', 'this', 'is', 'a', 'great', 'tablet', 'for', 'the', 'money']",Powerful tablet,positive
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2018-01-17T00:00:00.000Z,"['i', 'purchased', 'two', 'amazon', 'in', 'echo', 'plus', 'and', 'two', 'dots', 'plus', 'four', 'fire', 'sticks', 'and', 'the', 'hub', 'philips', 'hue', 'for', 'lamp', 'for', 'the', 'family', 'at', 'christmas', 'iaom', 'so', 'happy', 'with', 'these', 'purchases', 'and', 'learning', 'so', 'much', 'with', 'alexa', 'you', 'can', 'start', 'your', 'daily', 'routine', 'with', 'alexa', 'and', 'program', 'it', 'to', 'whatever', 'you', 'would', 'like', 'to', 'include', 'news', 'weather', 'music', 'horoscope', 'also', 'you', 'can', 'start', 'your', 'day', 'off', 'with', 'a', 'compliment', 'and', 'i', 'think', 'is', 'very', 'important', 'alexa', 'gave', 'me', 'the', 'best', 'chili', 'recipe', 'i', 'mean', 'the', 'best', 'itaos', 'called', 'chili', 'i', 'i', 'want', 'my', 'husband', 'to', 'use', 'alexa', 'to', 'stay', 'organized', 'for', 'business', 'dates', 'and', 'reminders', 'this', 'is', 'the', 'way', 'to', 'go']",Amazon Echo Plus AWESOME,positive
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Amazon Echo,Virtual Assistant Speakers,Electronics Features,Home & Tools,Smart Home Automation,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Wireless Speakers,Smart Home,Home Improvement,Voice Assistants,Amazon Home,Amazon","Electronics,Hardware",2017-12-20T00:00:00.000Z,"['just', 'an', 'average', 'alexa', 'option', 'does', 'show', 'a', 'few', 'things', 'on', 'screen', 'but', 'still', 'limited']",Average,negative
"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum",Amazon,"eBook Readers,Fire Tablets,Electronics Features,Tablets,Amazon Tablets,College Ipads & Tablets,Electronics,Electronics Deals,College Electronics,Featured Brands,All Tablets,Computers & Tablets,Back To College,Amazon Devices,Tablets & E-Readers","Office Supplies,Electronics",2017-08-04T00:00:00.000Z,"['very', 'good', 'product', 'exactly', 'what', 'i', 'wanted', 'and', 'a', 'very', 'good', 'price']",Greattttttt,positive
"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",Amazon,"Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,Tablets,All Tablets",Electronics,2017-01-23T00:00:00.000Z,"['this', 'is', 'the', 'rd', 'one', 'i', 've', 'purchased', 'i', 've', 'bought', 'one', 'for', 'all', 'of', 'my', 'nieces', 'no', 'other', 'case', 'compares', 'to', 'this', 'one', 'it', 'has', 'held', 'protected', 'the', 'tablet', 'so', 'many', 'times', 'from', 'them', 'dropping', 'it']",Very durable!,positive
"Kindle E-reader - White, 6 Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers",Amazon,"Office,eBook Readers,Electronics Features,Walmart for Business,Tablets,Electronics,Amazon Ereaders,Office Electronics,iPad & Tablets,Kindle E-readers,All Tablets,Amazon Book Reader,Computers & Tablets","Office Supplies,Electronics",2016-12-23T00:00:00.000Z,"['this', 'is', 'a', 'great', 'product', 'light', 'weight', 'i', 'wish', 'it', 'has', 'wifi', 'to', 'download', 'from', 'online']",You will love it,positive
"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",Amazon,"Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,Tablets,All Tablets",Electronics,2017-05-31T00:00:00.000Z,"['my', 'year', 'old', 'daughter', 'saved', 'up', 'to', 'by', 'this', 'her', 'brother', 'bought', 'the', 'gb', 'about', 'a', 'year', 'earlier', 'so', 'new', 'she', 'needed', 'more', 'space', 'the', 'os', 'is', 'a', 'bit', 'clunky', 'and', 'less', 'intuitive', 'then', 'on', 'higher', 'priced', 'tablets', 'but', 'tough', 'to', 'beat', 'the', 'price', 'speed', 'is', 'nt', 'great', 'for', 'web', 'or', 'certain', 'gaming', 'apps', 'but', 'fine', 'for', 'books', 'parental', 'controls', 'are', 'helpful', 'but', 'take', 'time', 'to', 'figure', 'out', 'and', 'require', 'more', 'steps', 'than', 'seem', 'necessary', 'to', 'change', 'overall', 'ok', 'first', 'tablet', 'for', 'kids', 'considering', 'the', 'price', 'for', 'adults', 'fine', 'for', 'ebooks', 'and', 'very', 'basic', 'apps', 'otherwise', 'best', 'to', 'pay', 'up', 'for', 'better', 'quality', 'and', 'os', 'efficiency']",OK For Entry Level Tablet,positive
"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",Amazon,"Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,Tablets,All Tablets",Electronics,2016-06-05T00:00:00.000Z,"['purchased', 'this', 'for', 'my', 'son', 'has', 'room', 'to', 'upgrade', 'memory', 'to', 'allow', 'more', 'books', 'games', 'but', 'the', 'speakers', 'could', 'be', 'better', 'or', 'located', 'in', 'a', 'better', 'position']",Great for kids or smaller needs,positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2016-11-23T00:00:00.000Z,"['bought', 'this', 'for', 'my', 'mom', 'and', 'it', 'was', 'just', 'what', 'she', 'needed', 'and', 'at', 'a', 'great', 'price', 'been', 'wanting', 'to', 'get', 'an', 'ipad', 'for', 'myself', 'but', 'think', 'this', 'might', 'be', 'a', 'great', 'less', 'expensive', 'option', 'for', 'me', 'as', 'well']",Great tablet,positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-05-18T00:00:00.000Z,"['was', 'cheap', 'can', 'not', 'run', 'chrome', 'stuff', 'returned', 'to', 'store']","was cheap, can not run chrome stuff, returned",negative
